company,description,exp_level,location,placing_date,salary,title
Interactive Online Technologies,"We are a product IT company with over 10 years of product development experience. Now we have launched the development of a new product. In this regard, we are looking for a Python  Developer/Data Scientist  for full-time, remote work to work together to create progressive products. We value professionalism, proactivity and responsibility for yourself, your decisions and your work results. We offer you inspiring challenges and complex tasks within an ambitious product without unnecessary bureaucracy. Expectations from the candidate: Python development experience from 3 years; WEB development experience (REST API); experience with Pandas, Numpy for working with data; practical experience with  ML-tasks  from a year within a real project; experience with NLP and CNN tasks. Experience with model deployment; experience with TensorFlow, keras, hugging face; experience with SQL Databases; knowledge of GIT, TCP, IP, HTTP(s), XML, JSON, AJAX, UML, basic principles of software production lifecycle and known development methodologies; preferably knowledge and experience in JavaScript; preferably experience with: PyTorch, SciPy, OpenCV, Matplotlib, LangChain; preferably experience with Docker, NoSQL. Responsibilities: Participation in the design and development of the chatbot project; participation in the design and development of the image generation project; participation in the design and development of the “smart” translator project. Job Requirements: Remote work in a friendly and comfortable team of professional developers WITHOUT the oppression of marketers; On-time salary starting from $5500 gross; 2 weeks paid holiday a year; Paid sick days; Paid time off on major Slavic holidays; Opportunity to attend professional courses at company’s expense; Working week: Sunday-Thursday, 10 a.m. to 7 p.m. Israel time.  We would love to give you all the details about the position! Send your CV now and we will contact you! !!! IMPORTANT TO KNOW !!! We have a multinational development team, which was formed more than 9 years ago. Our team includes people living in different CIS countries, so the language of communication is russian. But the company and all our employees are strongly opposed to russia’s invasion of Ukraine. The company provides humanitarian aid to Ukraine and helps our employees living there. We believe in the victory of Ukraine! Glory to Ukraine! Glory to ZSU! Glory to the Ukrainian nation!",3-5,віддалено,3 листопада 2024,від $5500,Python Developer/Data Scientist
Beetroot Academy,"Приєднуйся до глобальної спільноти експертів та зроби свій внесок у виховання наступного покоління ІТ-спеціалістів в Україні та світі. Через якісну освіту ти допоможеш людям побудувати кар’єру в ІТ та змінити їхнє життя. Ти викладатимеш онлайн, у групах зазвичай до 15 студентів, у вечірні години (та у вихідні за попередньої згоди), поєднуючи це з основною роботою та/або сім’єю. Наша команда методистів супроводжуватиме тебе протягом усього процесу навчання та підтримуватиме на кожному етапі — все, щоб допомогти тобі досягти найкращих результатів як викладач чи викладачка у Beetroot Academy. 

 Кого ми шукаємо? Ми шукаємо людину, яка прагне ділитися набутими знаннями та професійним досвідом з нашими студентами.  Основні вимоги до кандидата/-ки: ти Middle або Senior Python Developer; у тебе сильні комунікативні навички; ти володієш письмовою та розмовною англійською мовою. 

 Tech stacks: Python basics: data structures, functions, conditional statements, loops, and I/O; OOP; Unit testing; Computer science basics: data structures, sorting and searching algorithms, graphs and trees; Familiarity with Web technologies, protocols, client-server communication, basics of web security; SQL and relational databases; Web frameworks and ORM basics (Django preferably). 

 Буде бонусом: досвід менторства та викладання; досвід публічних виступів. 

 Чим ти будеш займатися? навчатимеш студентів на заняттях в Zoom  2-3  рази на тиждень; перевірятимеш їхній прогрес та коригуватимеш навчальний процес відповідно до їхніх потреб; будуватимеш атмосферу підтримки та прийняття у групі; мотивуватимеш та надихатимеш студентів на подолання викликів, з якими вони стикаються під час навчання; підтримуватимеш толерантність, рівність та інклюзивність у спілкуванні; братимеш участь у наших заходах як спікер/-ка (за бажанням). 

 Що ти отримаєш від Академії? зможеш пройти курс для викладачів, щоб підвищити рівень своїх навичок перед викладанням; поглибиш та структуруєш свою базу знань, готуючись до занять; розвинеш свої лідерські якості через викладання; зможеш претендувати на вищу позицію на роботі, продемонструвавши досвід викладання; отримаєш можливість знайти стажера або Junior-спеціаліста для своєї команди за потреби; приєднаєшся до великої мережі ІТ-спеціалістів, які викладають в Beetroot Academy; отримаєш доступ до безплатних уроків англійської мови після випуску першої групи та можливість приєднатися до будь-якого з наших курсів, а також отримати 50% знижку для членів сім’ї після випуску третьої групи; отримаєш додатковий дохід до основного заробітку. 

 Якщо тобі подобається перспектива бути викладачем чи викладачкою в Beetroot Academy, подавай заявку прямо зараз. Ми зв’яжемося з тобою та розповімо про наступні кроки відбору.",3-5,"Київ, Харків, Львів, Одеса, Івано-Франківськ, віддалено",4 листопада 2024,,Викладач/-ка курсу «Python Розробка»
SoftServe,"ПРО НАС:   SoftServe — це провідна ІТ-компанія, що займається консалтингом та надає послуги у сфері цифрових технологій. Ми забезпечуємо інноваційність, якість і швидкість, яких очікують наші клієнти та їх користувачі.  Наш клієнт — американська компанія, яка надає послуги у сфері кібербезпеки та мережевих рішень. Разом з клієнтом, ми допомагаємо людям безпечно підключатися до будь-якого пристрою, будь-якої програми, будь-де та будь-коли.  Ми прагнемо вдосконалити поточну систему мережевого екрану (фаєрвол) разом із клієнтом, зробивши її більш безпечною та дешевшою в обслуговуванні. План полягає в тому, щоб зменшити кількість ресурсів, які використовує фаєрвол, і зробити його дешевшим, але таким же ефективним. ЯКЩО ТИ:   маєш 3+ роки досвіду роботи Test Automation Engineer (Python);  працюєш з Linux операційною системою та командною строкою Linux;  знаєш тестові фреймворки, такі як PyTest та PyATS;  розумієш мережеві концепти IP, DNS, MAC, HTTP/HTTPS, SNMP, SSH, Telnet, TFTP, та SYSLOG;  маєш розуміння як працюють безпекові продукти, такі як NAT, IPS, VPN, Routers, або Switches;  розумієшся на автоматизації та інструментах генератора трафіку, наприклад Wireshark;  можеш вільно спілкуватись англійською мовою;  володієш методологіями контролю якості, процесами, методами розробки тестів і написанням планів тестування (буде перевагою).  І ТИ ХОЧЕШ:   працювати в сфері кібербезпеки на новій платформі безпеки;  створювати плани тестування для нової платформи безпеки з нуля та автоматизовувати тестові випадки;  проводити деббагінг та вирішувати мережеві проблеми;  здійснювати тестування, щоб переконатися в ефективності продукту;  впроваджувати власні ініціативи;  долучатись до впровадження нового платформного рішення, яке буде менш ресурсомістким;  співпрацювати з командою досвідчених професіоналів із кібербезпеки та хмарних сервісів.  РАЗОМ МИ БУДЕМО:   користуватися можливостями навчання із SoftServe University та Udemy;  брати участь у конференціях, тренінгах, семінарах;  співпрацювати з провідними світовими компаніями та досвідченими експертами;  отримувати сертифікації від провідних клауд сервісів (Google, Amazon та інших).  SoftServe — компанія рівних можливостей. Ми відкриті до працевлаштування усіх кваліфікованих кандидатів та кандидаток, незалежно від раси, кольору шкіри, віросповідання, віку, статі, національності, інвалідності, сексуальної орієнтації, гендерної ідентичності та самовираження, ветеранського статусу та інших захищених ознак, відповідно до чинного законодавства. Ставай частиною SoftServe та роби те, що драйвить!",3-5,"Київ, Харків, Львів, Дніпро, Одеса, Вінниця, Івано-Франківськ, Луцьк, Полтава, Рівне, Тернопіль, Ужгород, Хмельницький, Чернівці, віддалено",1 листопада 2024,,Middle Test Automation Engineer (Python); ID 94346
Radity GmbH,"Tackle interesting problems.  Work with ambitious software engineers and managers.  Learn, design, build, and ship.  Come and join Radity! We are currently hiring Juniors and Middle Python Django Backend Engineers to join our dynamic team. The ideal candidate is a highly motivated individual who is passionate about technology and has a strong desire to develop working quality software. Responsibilities: Work on developing and maintaining web applications using Python. Design, develop, and maintain RESTful APIs using Django Rest Framework (DRF). Develop AI Integrations Write efficient and scalable code using the best software development practices. Collaborate with the team to define and implement new features and functionality. Write and maintain unit tests to ensure code quality. Write and maintain technical documentation. Optimize and maintain the security, performance, and usability of the applications. Collaborate with the frontend team to integrate frontend components with the backend API. Requirements: Minimum 3 years of full-time experience (excluding studies and internships) Proficient in Python and Django DRF — Django Rest Framework Familiarity with PostgreSQL and Redis. Experience with Postman for testing and debugging APIs. Good understanding of software development principles and design patterns. Strong problem-solving skills and attention to detail. Ability to work well in a team environment. Nice-tohave: Java knowledge are beneficial. Good communication skills. Nice-to-have: Fullstack skills with react.js Nice-to-have: Experience with AI Integrations English level — B2. A degree in Software Engineering would be a plus. What we offer A dynamic, fast-paced work environment where you can develop your skills and grow professionally. Hands-on experience with cutting-edge technologies and the opportunity to work on real-world projects. Collaborative and supportive team members who are passionate about technology and quality. We love hackers, nerds, open-source lovers, analytical, business thinkers, and, most importantly, people who care about doing something great for themselves and the greater good. Please Apply at:   [email protected] Email Subject: Radity / Python Developer Please send your CV attached to this email.",3-5,віддалено,1 листопада 2024,$2000–3300,"Mid+ Backend Developer (Python, DRF)"
SoftFormance,"— 4+ роки досвіду розробки та розгортання веб-додатків Python — Відмінне розуміння веб-фреймворку Django (DRF) — Досвід використання Celery для асинхронних завдань (з Redis/RabbitMQ) — Досвід роботи з RDBMS, такими як PostgreSQL та/або MySQL — Впевнені навички в HTML і CSS для швидкого створення прототипів сторінок. — Досвід роботи з реляційними базами даних, такими як MySQL або PostgreSQL. — Досвід роботи з Git для ефективного керування версіями. — Англійська: Upper-Intermediate+ 
			 
					 — Комерційний досвід роботи зі ReactJS — Досвід роботи з Docker — GitHub CI/CD — AI/ML/LLMs — Здатність працювати та вчитися самостійно та в команді — Досвід масштабування та оптимізації програмних сервісів — Досвід розробки та підтримки високонавантажених програмних сервісів — Досвід роботи з REST API або іншим бекенд-фреймворком. 
				 
					 — Дистанційна посада  — Гнучкий графік (початок робочого дня — до 11.00) — Конкурентна заробітна плата (3200$-5200$) — Повний фінансовий та юридичний супровід приватних підприємців; — Цікаві, складні та динамічні проекти — Хороша команда та добре організовані процеси управління — Регулярні можливості кар’єрного росту та перегляд заробітної плати — Соціальний пакет  — 20 робочих днів оплачуваної щорічної відпустки  — 5 робочих днів оплачуваних лікарняних (якщо потрібно більше днів, обговоримо окремо на особистому рівні) — Уроки англійської мови. Ми можемо надати вам нашого викладача (зазвичай дистанційні уроки по скайпу) або це можуть бути курси, уроки, викладачі на ваш вибір((50% покриває компанія) — Кожен співробітник може отримати бонус за додаткову продуктивність, успіхи та додаткову цінність, надану нашій компанії чи проектам, у яких він/вона бере участь — Оплачуваний пробний період —  1-3  місяці 

 Про процес найму — Розгляд резюме — Короткий дзвінок, до 10 хвилин, розмова з HR менеджером Анною — Технічне інтерв’ю з нашими топ-розробниками — Онлайн-інтерв’ю з CEO Віталієм (до 60 хвилин розмова за допомогою Google Meet) — Вітаємо в команді! 
				 
					 — Розробка, розгортання та підтримка програмного забезпечення з Python/Django SaaS — Вчасно і в рамках бюджету — Огляд коду — Брати участь у регулярних зборах команди. У нас є регулярні щотижневі збори — Спілкуватися безпосередньо з клієнтами та брати активну участь в обговоренні проекту на високому рівні — Допомагати нам миттєво покращити процеси управління та розвитку — Дотримуватись внутрішніх процесів управління 
				 
					 SoftFormance в основному зосереджена на розробці веб-додатків SaaS (програмне забезпечення як послуга). 

 Деякі з них є стартапами, де ми допомагаємо нашим клієнтам швидко створювати та запускати версію MVP. Інші є довгостроковими компаніями SaaS. 

 Тож у вас буде можливість працювати над кількома короткими проектами, а також глибше заглиблюватися в довгострокову співпрацю зі складними та високонавантаженими веб-додатками. 

 Більшість наших клієнтів є зі США та Західної Європи. 

 Більшість наших проектів SaaS зосереджені на наступних нішах: — Автоматизація маркетингу та продажів — CRM та автоматизація бізнес-процесів — і трохи фінансових технологій",3-5,"Таллінн (Естонія), віддалено",1 листопада 2024,$3200–5500,"Python/Django Web Developer, Middle+\Senior"
Newsoft,"We are looking for a Middle Strong/Senior Python Developer to join our team.   This project aims to build an extensive database by gathering information across various industries and integrating it with diverse AI solutions. The system supports and helps other businesses train their AI models through the use of collected data. Requirements: — 4+ years of experience as a Python developer. — Experience in developing large-scale, distributed systems. — Experience with concurrent programming and REST API development. — Strong knowledge of cloud infrastructure, particularly AWS (GCP, Azure experience is a plus). — Proficiency in FastAPI and NextJS.  — Upper-intermediate or higher level of English proficiency. Nice-to-Have Skills: — Proficiency in classical machine learning and deep learning techniques. — A proven track record in building, deploying, and maintaining machine learning systems. — Experience with multi-cloud architecture. Responsibilities: — Architect and scale the system’s core to ensure resilience, high-quality design, and future readiness. — Develop innovative methods for interacting with embedding spaces, pushing the boundaries of AI-driven data exploration. — Engineer and optimize algorithms that can process large datasets, scaling interactive data maps to accommodate even larger datasets. — Collaborate with platform engineering to deliver features that empower enterprise clients, making the platform a go-to tool for AI-driven business solutions. Interview stages: — HR interview (30 minutes). — Technical interview (1 hour). — Interview with the customer (1 hour). — Job offer🎉🎉🎉 We offer: — Competitive salary. — Challenging tasks and projects. — Opportunities for professional development and growth. — Flexible working hours. — New hardware. — Free English lessons. — Table tennis and yoga classes. — Availability of generators and Starlinks in the office. — Small gym in the office. — Adjustable height tables. — Regular office fruit delivery and other benefits. Let’s create value together!",3-5,Львів,1 листопада 2024,до $5000,Middle Strong/Senior Python Developer [USA project]
Solvits Solutions,"Key Responsibilities: Conduct data pre-processing and analysis using Pandas and other libraries to ensure data integrity and relevance. Develop, fine-tune, and test large language models (LLMs) to meet specific project requirements. Collaborate with cross-functional teams to integrate AI solutions into our products and services. Stay up-to-date with the latest advancements in AI/ML, LLMs, and prompt engineering to apply best practices. Document and communicate technical solutions and decisions clearly and concisely. Requirements: Minimum 3 years of experience with Python and Pandas for data analysis and manipulation. Proven experience (at least 1 year) with large language models (LLMs) and prompt engineering. Nice to have: Strong understanding of machine learning concepts, algorithms, and techniques. Ability to work independently and as part of a team, with excellent problem-solving skills.",3-5,віддалено,31 жовтня 2024,,Middle AI/ML Engineer with Python
PLANEKS,"Let’s start with what PLANEKS offers:   0. Fast and comfortable hiring process. 1. 100% remote(even before the COVID) work opportunity and flexitime — choose working hours between  8:00-20:00. 2. Manage your compensation $$$$ budget — Travel tickets, Work equipment, Health insurance, Software, Sport, Training. 3. Salary paid in USD + tax compensation. Revision every 1 year. We want everyone to be confident in what tomorrow brings. 4. Everything to provide a good rest. YES: Paid vacation, national holidays, sick leaves(and support in case of serious diseases). NO: overtime, work on weekends. 5. Regular feedback, mentorship, code review. Friendly and professional team that supports you. Well, we’re proud of how we handle that. So you can always count on us. 6. Speaking clubs with a native speaker to constantly maintain your English level. 7. No bureaucracy — transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently.   We propose something more significant than a job. PLANEKS means developing a new lifestyle for our colleagues and clients. So take your part in it!   This position supposes that you have the following knowledge and competencies:   1. Software development experience( at least 3 years MUST ) with: — Python and Django — Other Python frameworks (e.g., Flask) — PostgreSQL, MySQL — Celery, Redis, ElasticSearch — Cloud providers, DevOps, CI/CD — Unit, integration, E2E tests 2. Knowledge of REST and experience working with REST APIs 3. Experience with JS, HTML, CSS (Usually  0-20%  of activity) 4. Communication skills in English (good writing and speaking)   You will deal and be responsible for:   1. Develop, support, and maintain projects in Python — usually, we create products from scratch but also have existing projects where the dev team should be extended. And also, we do not work with legacy codebases. 2. Solve technical challenges — all our projects are different, and you’ll never be bored with the same tasks every day, so your acquisitive mind will have great challenges regularly. 3. Take care of quality (code, test, business features, documentation) — everyone enjoys working with clean, readable code, so it is important to keep it such. 4. Participate in code reviews — usually, it is cross-reviews in the team or reviews by a senior person. 5. Communicate with internal and external teams — we’re in touch with great minds — inventive clients, and supportive colleagues! 6. Improve your technical and soft skills — just a normal evolution :)",3-5,We're a fully remote team thus we do not have an office. Most of our developers are based in Ukraine.,30 жовтня 2024,,Middle Python Full Stack Engineer
assisterr - Data Layer for Decentralised AI,"Location:  Remote  Type:  Full-time, Contract Are you excited about building the backbone of next-generation AI tools? Do you want to empower creators worldwide with cutting-edge technology? If so, we want you on our rocket ship! What You’ll Do: Architect and develop the infrastructure behind our core product:  AI Lab  — a no-code constructor for Small Language Models Design, build, and maintain scalable, secure, and high-performance backend systems using Python and FastAPI Collaborate closely with our AI and Web3 teams to create a seamless, powerful platform Develop and maintain ergonomic, open-source SDKs that creators will love Create clear, concise documentation and guides to boost adoption of our Platform APIs and SDKs Craft sample applications that showcase the power and ease-of-use of our platform Engage directly with creators to gather feedback and iteratively improve our APIs and SDKs Debug complex full-stack issues to ensure rock-solid stability, reliability, and security Participate in code reviews and help maintain our high standards of code quality What We’re Looking For: 3 years of experience in backend software development, with a strong focus on Python Mastery of Python and its ecosystem (FastAPI, Pydantic, asyncio, etc.) Experience with MongoDB and Redis for high-performance data storage and caching Strong understanding of RESTful API design principles and best practices Familiarity with AI/ML libraries  Experience designing and developing client-side libraries and SDKs Solid understanding of distributed systems and event-driven architectures Passion for clear, comprehensive developer documentation Familiarity with containerization and CI/CD pipelines Our Tech Stack: Python 3.12 FastAPI MongoDB Redis Benefits: Competitive salary and equity package (including tokens) Remote-first culture with flexible hours Quarterly offsites for team bonding and collaboration Opportunity to work on cutting-edge AI and Web3 technologies Exposure to a rapidly growing user base (250k+ users and counting!) Flexible vacation policy Professional development budget Our Team: Chief Executive Officer —  Nick Havryliak Chief Product Officer —  Dmytro Dimenko Are you ready to help us democratize AI and create a more equitable tech future? Join us at Assisterr and be part of something truly revolutionary! To apply, please fill out this  application form Assisterr is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.",3-5,віддалено,29 жовтня 2024,,Middle Python Engineer
SevenPro,"About you: We are seeking an Android Developer with a backend focus to join a project dedicated to improving agriculture in developing countries. This role involves creating a mobile application MVP designed to enhance agricultural practices through innovative data collection and phenotyping techniques. You will be instrumental in crafting intuitive user interfaces for Android and developing robust backend systems to ensure reliable data handling, storage, and processing in resource-constrained environments. About project: This project aims to develop a mobile application MVP that will support agriculture by enabling efficient data collection and real-time analysis. Built specifically for developing countries, the app will utilize innovative phenotyping techniques through smartphone-based imagery to monitor and improve agricultural productivity. By capturing and processing visual data, the application provides essential insights that help farmers make data-driven decisions, ultimately improving crop yields and resource use. This solution is tailored for resource-constrained environments, ensuring ease of use and scalability. The project holds immense potential to create a positive impact on agricultural sustainability in developing regions. Your area of responsibility: Develop intuitive and visually appealing UI components for the Android-based imagery phenotyping MVP. Design and implement scalable backend systems for efficient data collection, storage, and processing of phenotypic information. Create APIs and interfaces for seamless integration with various agricultural hardware and software. Build a user-friendly data collection tool, including a farmer plot registration module as a core component. Establish data validation processes to ensure the accuracy, integrity, and consistency of collected data, adhering to relevant business rules. Optimize software performance and efficiency within resource-constrained agricultural environments. Conduct regular testing and quality assurance to ensure the reliability and robustness of the application. Perform thorough unit and integration testing to validate the solution’s scalability and robustness. Collaborate with cross-functional teams to gather software requirements and workflows, integrating necessary functionalities while following best practices. Provide technical guidance and training to internal teams on development practices and tools. Skills and requirements: At least 3+ years of proven experience as an Android Developer; Strong experience with Android (Kotlin, Java, Android studio); Experience with Python; Knowledge of API development and integration (RESTful services); Experience in cloud services (Google Cloud Platform, AWS, or Azure); Skilled in end-to-end testing, including unit and integration testing, to ensure software reliability and robustness. Will be a plus: Experience with GCP (Google Cloud Platform) or a strong willingness to learn it; Knowledge of machine learning frameworks or computer vision algorithms, especially as they relate to agricultural or environmental data; Familiarity with working in resource-constrained environments, optimizing for efficiency and performance in challenging conditions. We offer: Working in a team of talented and passionate engineers; Opportunity to work with the most trending technologies; Long-term enjoyable cooperation; Personal legal support; Payable vacation and sick days; Competitive salary depending on your own talents; Regular performance & career development reviews; Team building events.",3-5,"Київ, Харків, віддалено",30 жовтня 2024,,Android Developer (with Python experience)
Kauri.One,"Kauri One is a software development company that creates Fintech-blockchain projects. We implement the entire range of financial instruments for processing fiat and cryptocurrencies in one system. Right now we are looking for a passionate  Python Developer  with fintech experience to join our team. Requirements: Hands-on experience in fintech 3+ years of experience in Python Django framework strong knowledge Understanding the basics of asynchronous programs and building a REST API Experience with Fast API Working with Celery (creating tasks, understanding retry, countdown, send mechanisms); SQL/NoSQL Docker, docker-compose, GIT, Unix Skills in written tests: End-to-end, Integration, Unit Analytical thinking to break down complex problems into manageable components Collaboration with other developers, designers, and stakeholders Self-motivation to explore new tools and technologies Intermediate English and strong communication skills. Will be a plus: Experience in blockchain services integrations. Responsibilities: Update and improvement of the existing functionality Create new features from scratch Integrations with various of payment systems and services Writing tests. Implementation of innovative blockchain and fintech solutions. Code optimizations in security, high-load, etc. We offer: Worthy compensation based on interview Remote company with employees concentrated in Ukraine and Europe (Cyprus) Possibility of relocation to Cyprus Continuing education and support for select graduate programs Working with a team of open-minded specialists with a low hierarchy Career development opportunities with professional training programs Flexible working hours for your great work-life balance Performance evaluations every 6 months Full accounting assistance and support The company is open to innovations and suggestions from the employees.",3-5,за кордоном,29 жовтня 2024,,Python Developer (fintech experience)
Inoxoft,"We’re looking for a talented and passionate  Python Developer  who will help build and maintain product features. You will help to implement new features, integrate with third-party systems in a secure and reliable way, troubleshoot and resolve complicated and unique issues, and implement performance improvements. Project details:  Fintech platform, which helps to automate and simplify the bank investment process. Tech Stack:  Python, Django, PostgreSQL, AWS, React.js/Redux, Flutter Our Team:  2 Back End devs, 1 Front End dev, 1 Flutter dev, QA, Designer, PM. Responsibilities: — following and improving project conventions (architecture approach, code style, best practices) — following and suggest improvements for the existing project processes, methodologies and guidelines — estimation of tasks and functionality and fit with own estimates — creating and updating project documentation (technical and functional) — setup and maintenance of project environments — negotiation / explanation of technical questions and requirements with the clients — participation in technical interview with clients — guide, consult and make advices to team members with delivery of assigned tasks — contribute into employees growth by providing tech feedback and setting tech goals — conduct project related tech interview for external candidates — delivery of assigned tasks: — working closely with other staff, such as project managers, quality engineers, UI/UX designers, business analysts, sales and marketing professionals — following company processes (time log, vacation, internal policies, prescribed in InoXoft Guide) — investigation of new technologies — continuous update of technical knowledge and soft skills by attending in-house and external courses, reading manuals and accessing new applications — providing feedback to colleagues, managers and company Requirements: — 2,5+ years of experience with Python and  Django . — Have experience with ORMs (PostgreSQL). — Experience with Clouds (AWS). — Experience with Unit Tests — Experience with React will be a plus — Develop and implement software solutions that meet project requirements and quality standards, using industry best practices and technologies. — Proactivity, curiosity, and outside the box thinking. — English Upper-intermediate is must. Benefits: — Flexible working hours; — 25 paid days off and 10 sick/medical leaves; — Additional paid days off for personal events like marriage and childbirth; — Maternity/Paternity leaves; — Medical insurance; — Discount program; — Self-development budget per year; — Referral bonuses; — Corporate events and gifts; — Learning events and mentorship opportunities; — Speaking Clubs; — PE accounting and support.",3-5,"Львів, Вроцлав (Польща), віддалено",29 жовтня 2024,,Middle Python Software Engineer
SpeedlineHub Recruiting,"Our client is an international product-based IT company specializing in the iGaming industry. Born in 2014, they rocked the CIS region, and now take the success to the world. We are seeking a highly motivated  Middle Python Developer   to join their team. 📚 Your qualifications:   — A solid track record of using Python for at least 3 years, with hands-on experience in developing, debugging, and optimizing Python-based applications. — Experience working with MongoDB or similar NoSQL databases. — Understanding of Concurrent Programming: experience in high-load and multi-threaded projects. — Competence in SQL, with the ability to write, optimize, and troubleshoot SQL queries.  — Excellent written and verbal communication skills, with the ability to convey technical information clearly and effectively to both technical and non-technical stakeholders.  ➕ Nice to have: — Practical skills in Go development. — Experience with Django, Tornado, Fastapi. — Experience with Redis. 📋 Key responsibilities and your contribution:   — Building and optimizing server-side applications and services/microservices for processing data. — Setting up and maintaining integrations with external financial systems, payment gateways. — Designing, optimizing, and managing databases, writing efficient SQL queries, and working with ORM. — Writing unit tests, conducting integration testing, optimizing performance, and debugging code issues. What we offer:   ⭐ Days of recovery: 20 paid vacation day per year and unlimited sick leave days. ⭐ Health: corporate medical insurance, a company psychologist and a Cafeteria of Benefits for personal wellness choices. ⭐ Education: a variety of foreign languages course for you to choose from. Also we are open for your development and you can choose different courses training for improving your skills. ⭐ Compensation: we offer a selection of additional benefits that can be used according to company policy, e.g. paid business trips, international conference opportunities, lunch perks at our offices etc.  ⭐ Work Environment: work remotely or from one of our offices in Cyprus, Portugal, Poland, equipped with the equipment you’ll need for success.",3-5,за кордоном,28 жовтня 2024,,Middle Python Developer
WebLab Technology,"We are looking for a dynamic Python AI Engineer (Generative NLP, AI Agents, Prompting)  with strong experience in Python API development. This is an exceptional opportunity for someone passionate about shaping the future of AI-driven conversational interfaces and eager to work with cutting-edge technologies, including API development and integration of LLM APIs such as those offered by OpenAI. As a Python AI Engineer,  your primary mission will be to design, develop, and deploy AI solutions that integrate into our existing systems. You will have the chance to work on API development as well as prompt-based and API-based solutions, reflecting our commitment to rapid delivery without compromising on innovation. About the project: A stable enterprise product for creating marketing presentations, preparing accompanying materials, and developing sales cycle business assistants for global pharmaceutical companies such as AstraZeneca, Novartis, Pfizer, Veeva etc., and financial institutions like ING and Van Lanschot. Completely our code base, we have been developing it since 2015. Our services are distributed across multiple Availability Zones, adhering to a service-oriented architecture. Since 2018, we have prioritized GraphQL, although we maintain comprehensive support for RESTful APIs. Our core API services are built on a diverse stack of programming languages, each chosen to optimize task performance. This stack includes a rapidly evolving Golang Core API, legacy Core API services in PHP (leveraging frameworks like Laravel and Yii2) for established business logic and data layer interactions, Node.js (utilizing both JavaScript and TypeScript), Python APIs, and .NET Core C# components. We utilize a hybrid cloud infrastructure, harnessing the strengths of both AWS and GCP to meet our operational needs, and focus on Serverless. Our work also involves extensive integration with API partners, including Veeva, Salesforce, and a variety of others, to ensure a seamless and robust service ecosystem. As a product with high-security requirements, we undergo regular penetration testing from auditors and client companies to ensure compliance with industry standards such as OWASP, SOC, and ISO. Key Responsibilities: Design, develop, and deploy AI solutions utilizing Python. Construct and enhance Chains, AI Agents, and AI Pipelines with tools such as Langchain and LlamaIndex. Develop robust APIs leveraging Flask and FastAPI frameworks. Develop solutions using Vector Databases. Gather, clean, and analyze data to uncover patterns and derive insights. Research and apply novel AI techniques and algorithms for continuous improvement. Fine-tune LLMs using both manual and automated feedback mechanisms. Ensure the reliability and optimal performance of AI services through diligent site reliability engineering. Work collaboratively with cross-functional teams to craft impactful AI solutions that drive business growth. Qualifications: Bachelor’s degree in Computer Science, Artificial Intelligence, or a closely related field. Prompt engineering skills. High proficiency in at least one of the following programming languages: Python, TypeScript, Golang, or Rust. Minimum of 1 year experience in developing AI solutions, preferably with LLMs. Strong foundation in Python, with at least 1 year of experience. Ability to design, develop, and deploy machine learning models. Basic NLP skills, including sentiment analysis, named entity recognition, and part-of-speech tagging. Understanding of machine learning principles and algorithms. Familiarity with AI frameworks such as TensorFlow, PyTorch, or scikit-learn. This position offers the chance to be at the forefront of AI development, working on solutions that leverage the latest advancements in AI technology. If you are driven by innovation, eager to tackle challenging problems, and ready to make a significant impact, we would love to hear from you. Benefits: In addition to a great base salary, we offer: 1) Funding for conferences, co-working spaces, software licenses, and other work-related expenses 2) MacBook if you require one 3) Mobile devices if you are involved with mobile development projects 4) Flexible working hours and fully remote working without micromanagement 5) Modern technology stack 6) Time for open source development 7) Bonus at the end of the year 8) Paid study leave 9) Paid English language courses 10) **36** company-paid days off per annum 11) Access to educational streaming services like Pluralsight 12) Input on the development of the company Our core values: We are open-minded, humble, respectful, self-driven, and honest, which allows us to create an atmosphere of synergy. Our team is a great fit for those who value self-organization and are passionate about personal growth. If this resonates with you, we’d love to have you join the team.",3-5,віддалено,28 жовтня 2024,до $4000,Middle Python AI Engineer
